route_id,objective,route_status,domain,agent_role,authority_ceiling,trace_step,trace_status,selected_rule,accepted_state_changed
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,objective_received,ok,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,route_rules_scored,ok,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,domain_bound,candidate,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,agent_role_bound,candidate,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,capabilities_resolved,candidate,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,proof_obligations_bound,required,route_source_authority,False
route_1568402f2c52,Which current docs support this contest claim and what evidence can we cite?,ROUTED,SOURCE_AUTHORITY,CANON_LIBRARIAN,read_only_candidate_synthesis,state_boundary_locked,candidate_route_only,route_source_authority,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,objective_received,ok,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,route_rules_scored,ok,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,domain_bound,candidate,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,agent_role_bound,candidate,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,capabilities_resolved,candidate,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,proof_obligations_bound,required,route_settlement,False
route_63954c9d3d2c,Accept these candidate decisions into future context for the next session.,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,state_boundary_locked,candidate_route_only,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,objective_received,ok,route_settlement,False
